type,timestamp,fatiga,suenio,rpe,duracion_min,dolor,energia,horas,calidad,bpm,spo2,accel_x,accel_y,accel_z
questionnaire,2026-02-11 17:57:17,7.0,8.0,7.0,60.0,,,,,,,,,
questionnaire,2026-02-11 17:57:17,,,,,6.0,7.0,,,,,,,
questionnaire,2026-02-11 17:57:17,,,,,,,7.0,4.0,,,,,
questionnaire,2026-02-11 17:57:56,5.0,8.0,5.0,60.0,,,,,,,,,
questionnaire,2026-02-11 17:57:56,,,,,2.0,7.0,,,,,,,
questionnaire,2026-02-11 17:57:56,,,,,,,7.0,4.0,,,,,
questionnaire,2026-02-11 17:58:51,1.0,8.0,3.0,60.0,,,,,,,,,
questionnaire,2026-02-11 17:58:51,,,,,0.0,10.0,,,,,,,
questionnaire,2026-02-11 17:58:52,,,,,,,7.0,4.0,,,,,
sensor,2026-02-12 10:50:21,,,,,,,,,70.7,,-0.7023815626903254,1.3275204193460337,8.816163500364084
sensor,2026-02-12 10:50:23,,,,,,,,,70.6,,1.7536179267075438,1.7072911641471524,11.040044167855582
sensor,2026-02-12 10:50:25,,,,,,,,,71.7,,-1.623300429017747,-1.7473797164239682,11.265855664356907
sensor,2026-02-12 10:50:27,,,,,,,,,76.2,,0.22252302492810427,0.42166390021693534,9.629350082434474
sensor,2026-02-12 10:50:29,,,,,,,,,72.4,,-0.8332999135360506,-0.05959917820028737,9.172848601349422
sensor,2026-02-12 10:50:31,,,,,,,,,74.5,,1.737981040436674,1.1781674100576125,11.20515000556372
sensor,2026-02-12 10:50:33,,,,,,,,,74.9,,1.984305497798676,-0.013095772949288431,10.502309008925335
sensor,2026-02-12 10:50:35,,,,,,,,,82.3,,-1.7292449328668154,-1.3859820894497785,10.445717045564248
sensor,2026-02-12 10:50:37,,,,,,,,,81.4,,-0.9418039093971555,-0.24507102155029203,9.489134565371204
sensor,2026-02-12 10:50:39,,,,,,,,,81.3,,0.10024263669517719,0.47117802040236345,8.179399003195943
sensor,2026-02-12 10:50:41,,,,,,,,,81.2,,0.295696736642991,0.43338453669640753,10.301032147995944
sensor,2026-02-12 10:50:43,,,,,,,,,85.4,,-0.1360155438274564,1.1236290374206033,8.51476829544566
sensor,2026-02-12 10:50:45,,,,,,,,,81.8,,-1.7903591647737516,0.52146894282119,11.47302670465725
sensor,2026-02-12 10:50:47,,,,,,,,,80.3,,1.7662037745806125,0.6841609702476874,8.957496555345237
sensor,2026-02-12 10:50:49,,,,,,,,,80.7,,0.32735422787710267,0.8138442627448974,8.453975198175014
sensor,2026-02-12 10:50:51,,,,,,,,,81.6,,-1.9126305839671636,-0.13960537133248074,11.659788988282166
sensor,2026-02-12 10:50:53,,,,,,,,,81.5,,-0.9884882655087845,-0.23255197555122598,10.073097690113858
sensor,2026-02-12 10:50:55,,,,,,,,,80.9,,0.8366606287181657,-0.2783986570154253,10.337817189453103
